"Export time:  2/5/2024, 2:35:28 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BYF87KGZ","Cat Wall Shelves, Furniture Set, Shelves and Perches for Wall, Climbing Shelf Playground Scratching Post with 3 Steps Indoor Mounted Condos House","NOVGOBHOT","$98.99","466","30","$46,129","04/20/2023","$66.08","4.6","112","$32.91","8,103","7","FBA","1","Pet Supplies","Oversize","23.5 x 15.7 x 8 in","24.6 lb","https://www.amazon.com/dp/B0BYF87KGZ"
"cat wall steps","","B09FS8Q7QW","FUKUMARU Cat Wall Furniture, 11.8 Inch Cat Wall Steps for Drywall, Cat Stairs for Wall Mounted with Jute Scratching Cat Shelf for Most Kitten, Medium and Large Cats, 2 of Pack","FUKUMARU","$35.79","330","16","$11,811","09/08/2021","$23.69","4.7","512","$12.10","13,727","7","FBA","1","Pet Supplies","Standard","3.8 x 3.8 x 11.8 in","4.87 lb","https://www.amazon.com/dp/B09FS8Q7QW"
"Average Monthly Sales: 184","","B087LRB4XG","FUKUMARU Hammock Mounted Cat Beds and Perches, Wooden Wall Furniture, Stable Shelves for Sleeping, Playing, Climbing, and Lounging, Black Stripe","FUKUMARU","$28.79","599","22","$17,245","04/23/2020","$16.84","4.6","2,644","$11.95","10,650","7","FBA","2","Pet Supplies","Standard","13.8 x 4.75 x 15.7 in","3.58 lb","https://www.amazon.com/dp/B087LRB4XG"
"Average Revenue: $8,028","","B0CPF3BKVT","Cat Wall Shelf Bed with Two Steps | Wall Mounted Modern Cushioned Cat Shelves and Perches Set | Cat or Kitten Condo Furniture | Wall Playground for Sleeping, Playing, Climbing, and Lounging","UPBEAT ADVENTURES","$89.99","90","3","$8,099","01/08/2024","$64.51","","","$25.48","43,489","6","FBA","1","Pet Supplies","Oversize","14.6 x 3.9 x 21.3 in","8.6 lb","https://www.amazon.com/dp/B0CPF3BKVT"
"Average Price: $42.53","","B0BV23XBN9","LIORCE 2 Set Cat Wall Steps - Wooden Cat Climbing Shelf for Wall - Cat Wall Stairs with Scratching Mat - Wall Mounted Cat Furniture for Jumping, Playing, and Lounging","LIORCE","$36.99","317","16","$11,726","02/06/2023","$24.71","4.5","82","$12.28","13,804","6","FBA","1","Pet Supplies","Standard","10 x 4 x 10 in","4.3 lb","https://www.amazon.com/dp/B0BV23XBN9"
"Average No. of Ratings: 272","","B0CMHGGGWD","3 Pcs Cat Wall Steps, Cat Steps for Cat Wall Shelves, Cat Steps Scratcher for Cat Shelf & Cat Wall Furniture with Hemp Rope Covered, Wall Mounted Cat Climber Set for Cats Playing and Climbing (White)","COOLEX","$18.79","318","12","$5,975","12/30/2023","$10.83","5","2","$7.96","17,507","7","FBA","1","Pet Supplies","Standard","2.76 x 4.33 x 6.89 in","1.41 lb","https://www.amazon.com/dp/B0CMHGGGWD"
"Average Sales Rank: 50,572","","B0BFVYGR7N","Cat Climbing Shelves Wall Mounted 2PCS Four Cat Steps Reversible Left & Right Direction, Cat Shelf Stairway for Wall with Jute Scratching Ladder Cat Wall Shelves Furniture for Perch Sleeping","PELUOMOZ","$34.99","459","16","$16,060","11/27/2022","$23.31","3.9","268","$11.68","13,484","7","FBA","1","Pet Supplies","Standard","5 x 5 x 5 in","3.59 lb","https://www.amazon.com/dp/B0BFVYGR7N"
"Average Rating Number: 4.3","","B0C27L5JF9","3 Pcs Cat Wall Steps, Cat Shelves and Perches for Wall, Wall-Mounted Cat Climbing Shelf with Plush Covered, Cat Wall Furniture Steps Set with Scratching Pads for Cats Playing and Climbing","MEMOORIAL","$19.99","462","17","$9,235","04/11/2023","$11.85","4.1","562","$8.14","13,095","7","FBA","1","Pet Supplies","Standard","6 x 4 x 10 in","1.92 lb","https://www.amazon.com/dp/B0C27L5JF9"
"","","B087LR5LWP","FUKUMARU Cat Climbing Shelf Wall Mounted, Four Step Cat Stairway with Jute Scratching for Cats Perch Platform Supplies","FUKUMARU","$26.79","1,212","43","$32,469","04/23/2020","$16.98","4.5","3,653","$9.81","6,047","7","FBA","1","Pet Supplies","Standard","2.7 x 15.7 x 8.7 in","2.6 lb","https://www.amazon.com/dp/B087LR5LWP"
"","","B0BV26KJR4","LIORCE Cat Wall Shelf with Two Steps - Wave Cat Shelves and Perches for Wall - Wall Mounted Cat Furniture for Sleeping, Playing, Climbing, and Lounging","LIORCE","$122.99","341","16","$41,940","02/06/2023","$91.42","4.5","82","$31.57","13,804","7","FBA","1","Pet Supplies","Oversize","11.8 x 3.5 x 31 in","11.9 lb","https://www.amazon.com/dp/B0BV26KJR4"
"","","B0C6X2DQTB","Cat Wall Shelf & Stairs - Two Pcs Set of Wall Mounted Cat Hexagonal Shelf & 4 level Ladder with Scratch Points, Indoor Aesthetic Cat Mounted Climbing Playground Furniture, Modern Cat Activity Condos","Baraboo","$44.99","","","$0.00","06/12/2023","$24.37","4.4","7","$20.62","131,489","8","FBA","1","Pet Supplies","Oversize","17 x 4.8 x 19.6 in","9.75 lb","https://www.amazon.com/dp/B0C6X2DQTB"
"","","B0B8GD3SST","3 Pack Corner Pet Scratch Pad Mounted Corner Wall Cat Scratcher Hanging Sisal Cat Scratch Pad Vertical Anti Scratching Cat Wall Protector with Wall Fixings for Door Couch, 16 x 9 Inches","Taiyin","$32.99","184","5","$6,070","08/02/2022","$21.31","3.8","106","$11.68","30,767","7","FBA","1","Pet Supplies","Standard","0.79 x 16.14 x 9.06 in","4.59 lb","https://www.amazon.com/dp/B0B8GD3SST"
"","","B0BV1ZTDVS","LIORCE Cat Shelf with Comfortable Cat Cushion - Wave Modern Cat Bed - Minimalistic Floating Cat Wall Perch - Wooden Wall Mounted Cat Furniture for Sleeping, Playing, Climbing, and Lounging","LIORCE","$92.99","150","5","$13,949","02/06/2023","$69.59","4.5","109","$23.40","31,602","7","FBA","1","Pet Supplies","Oversize","11.8 x 3.5 x 31 in","8.2 lb","https://www.amazon.com/dp/B0BV1ZTDVS"
"","","B0C2QL8Y3X","SHENGOCASE 10'x 7' Large Cat Wall Steps, Solid Wood Wall Mounted Carpet-Covered Cat Shelves, Cat Wall Furnitures, Floating Shelves,Cat Stairs, Cat Perch","SHENGOCASE","$39.99","230","14","$9,198","04/16/2023","$15.93","4.3","154","$24.06","15,257","7","FBA","1","Pet Supplies","Oversize","11.8 x 24.5 x 11.8 in","5.62 lb","https://www.amazon.com/dp/B0C2QL8Y3X"
"","","B0CN3JWN67","Ewenono 2 Pack 4 Steps Cat Wall Shelf Cat Climbing Shelf Wall Mounted,Design with Eco-Friendly Sisal Rope.A Larger Size Cat Step for Wall","Ewenono","$29.99","108","3","$3,239","11/09/2023","$19.06","5","1","$10.93","47,903","6","FBA","1","Pet Supplies","Standard","2.8 x 0.6 x 7.9 in","3.59 lb","https://www.amazon.com/dp/B0CN3JWN67"
"","","B09S6FQH4N","Cat Hammock Cat Wall Shelves with 3 Steps, Cat Shelves and Perches for Wall, Cat Wall Furniture Cat Climbing Shelf, Cat Scratching Post Cat Wall Shelf for Indoor with Plush Covered, Gift for Cat","VOOTTOU","$35.89","538","13","$19,309","02/09/2022","$23.78","3.9","605","$12.11","15,968","7","FBA","2","Pet Supplies","Standard","13 x 4 x 13 in","3.87 lb","https://www.amazon.com/dp/B09S6FQH4N"
"","","B0CBYN8NHD","VENIBOBO Cat Wall Shelves, Cat Condo Wall Mounted Cat Climbing for Large Cats with Moon Hammock Perch Platform and 2 Scratching Steps, Wooden Modern Cat Tree Cat Wall Furniture Super Sturdy","VENIBOBO","$49.99","120","4","$5,999","10/23/2023","$-4.02","4.7","7","$54.02","39,727","6","FBA","1","Pet Supplies","Oversize","13.8 x 50 x 14.2 in","11 lb","https://www.amazon.com/dp/B0CBYN8NHD"
"","","B0B4NPZD3T","Cat Wall Shelves/Furniture, Shelves, Perches and Steps Set with 2 Cat Condos House, 6 Shelves, 2 Ladder, 1 Sisal Cat Scratching Post","Canormpet","$109.99","182","10","$20,018","06/20/2022","$73.15","4.4","147","$36.84","19,403","7","FBA","1","Pet Supplies","Oversize","14 x 10 x 20.5 in","30.65 lb","https://www.amazon.com/dp/B0B4NPZD3T"
"","","B0C2HFFSHN","Cat Wall Mounted Shelves Steps - Cat Wall Perches Furniture Playing Stairs Climber Hanging Holder Soft Carpet Cats Resting Space Saving ","SPAKITCHCE","$35.99","202","7","$7,270","04/13/2023","$23.56","4.1","135","$12.43","25,198","6","FBA","1","Pet Supplies","Standard","9.8 x 5 x 15 in","6 lb","https://www.amazon.com/dp/B0C2HFFSHN"
"","","B0BNWSYKN5","TAKEKIT Cat Wall Shelves, Cat Wall Hammock with Scratching Post and Cat Step, Cat Wall Furniture for Climbing, Playing and Sleeping, Cat Shelves and Perches for Wall for Indoor Large Cats or Kittens","TAKEKIT","$69.99","60","3","$4,199","12/02/2022","$45.61","4.5","13","$24.38","45,252","7","FBA","1","Pet Supplies","Oversize","17.87 x 5.98 x 17.95 in","10.36 lb","https://www.amazon.com/dp/B0BNWSYKN5"
"","","B0CHP1C53M","kathson 6 Pcs Cat Wall Mounted Shelves, Cat Wall Steps Shelves Wood Cat Climbing Shelves Cat Stairs with Non Slip Felt Cat Ladder Cat Wall Bed Cat Wall Furniture Cat Perch for Springboard Playing","kathson","$33.99","45","2","$1,530","12/30/2023","$21.56","","","$12.43","62,389","8","FBA","1","Pet Supplies","Standard","1 x 1 x 1 in","6.19 lb","https://www.amazon.com/dp/B0CHP1C53M"
"","","B0CMHL92SV","COOLEX Cat Wall Shelves, Cat Shelves for Wall, Cat Wall Furniture, Cat Shelf with 3 Steps Scratcher Post, Cat Tree Hammock with Plush Wall Mounted, Climbing Shelf Wall Mount for Indoor Cats (Wood)","COOLEX","$33.79","128","4","$4,325","12/29/2023","$21.09","2.7","3","$12.70","39,816","7","FBA","1","Pet Supplies","Standard","13.3 x 4.76 x 16.34 in","5.86 lb","https://www.amazon.com/dp/B0CMHL92SV"
"","","B0B5VNYK2M","ESPETS Cat Wall Floating Steps with Jute Rope Scratching - Wall Mounted Cat Stairs, Cat Climbing Shelfves and Perches for Wall, Stylish Indoor Cat Wall Furniture - Holds up 35lbs","ESPETS","$20.99","35","1","$734.65","07/04/2022","$12.05","4.2","39","$8.94","95,590","7","FBA","1","Pet Supplies","Standard","5.52 x 3.55 x 10.63 in","2.87 lb","https://www.amazon.com/dp/B0B5VNYK2M"
"","","B0B5R9QRZM","Purife Cat Climbing Steps for Wall (Pack of 3) -Sturdy Metal Support Cat Wall Steps, Wall Floating Shelves, Indoor Cat Wall Furniture & Perch, Cat Hammock Bed, Cat Ladder Stairs-Easy to Install","Purife","$26.99","86","2","$2,321","11/17/2020","$16.51","4.4","92","$10.48","53,293","6","FBA","1","Pet Supplies","Standard","9.21 x 3.19 x 10.79 in","3.95 lb","https://www.amazon.com/dp/B0B5R9QRZM"
"","","B0C4GP2FZG","Cat Wall Shelves Cat Hammock with 3 Steps, Cat Furniture Cat Shelf for Wall, Natural Sisal Cat Shelves and Perches, Cat Climbing Shelf Cat Scratching Post,Modern Cat Bed & Furniture, Gift for Cat","VOOTTOU","$32.89","89","1","$2,927","05/05/2023","$20.63","4.1","10","$12.26","70,470","8","FBA","1","Pet Supplies","Standard","8 x 6 x 10 in","6.33 lb","https://www.amazon.com/dp/B0C4GP2FZG"
"","","B0CB596FX9","Lenwen Set of 6 Cat Wall Steps Shelf Shelves Wood Cat Climbing Shelves for Wall Wood Cat Wall Mounted Furniture Cat Wall Bed Wood Cat Stairs with Non Slip Felt for Springboard Playing (Classic)","Lenwen","$53.99","106","2","$5,723","07/04/2023","$36.76","4.4","21","$17.23","58,626","7","FBA","1","Pet Supplies","Standard","3.46 x 3.46 x 15.74 in","12.7 lb","https://www.amazon.com/dp/B0CB596FX9"
"","","B0BRBK4RCG","SHENGOCASE 5-Pack Cat Wall Steps Shelf Shelves, Cat Wall Furniture, Wall Mounted Cat Stairs Cat Perch Hammock (5-Pack Wall Steps B)","SHENGOCASE","$29.99","20","2","$599.80","12/08/2022","$18.46","3.9","17","$11.53","58,677","6","FBA","1","Pet Supplies","Standard","7.83 x 7.13 x 11.14 in","5.31 lb","https://www.amazon.com/dp/B0BRBK4RCG"
"","","B0B5G2M7Q6","SweetBin 2 Packs Wall Mounted Cat Climbing Shelves, Solid Rubber Wood Cat Stairs Three & Four Step Cat Wall Furniture, Cats Perch Platform Supplies with Jute Scratching","SweetBin","$25.49","64","3","$1,631","06/29/2022","$14.94","4.3","37","$10.55","43,669","7","FBA","1","Pet Supplies","Standard","5.43 x 2.99 x 17.4 in","4.35 lb","https://www.amazon.com/dp/B0B5G2M7Q6"
